Category;City;Country;Customer ID;Customer Name;Discount;Order Date;Order ID;Postal Code;Product ID;Product Name;Profit;Quantity;Region;Row;Sales;Segment;Ship Date;Ship Mode;State;Sub-Category
Furniture;New York City;United States;LD-17005;Lisa DeCherney;0;29.09.11;CA-2011-124856;10011;FUR-FU-10000521;"Seth Thomas 14"" Putty-Colored Wall Clock";363.816;4;East;5797;$117;Consumer;03.10.11;Second Class;New York;Furnishings
Furniture;Los Angeles;United States;AP-10915;Arthur Prichep;0;29.09.11;CA-2011-146969;90045;FUR-FU-10004188;Luxo Professional Combination Clamp-On Lamps;53.196;2;West;1142;$205;Consumer;03.10.11;Standard Class;California;Furnishings
Furniture;Philadelphia;United States;SM-20950;Suzanne McNair;0.4;29.09.11;CA-2011-122931;19134;FUR-TA-10004175;"Hon 30"" x 60"" Table with Locking Drawer";-818.544;2;East;4053;$409;Corporate;03.10.11;Standard Class;Pennsylvania;Tables
Furniture;Philadelphia;United States;SM-20950;Suzanne McNair;0.4;29.09.11;CA-2011-122931;19134;FUR-TA-10004147;Hon 4060 Series Tables;-201.528;1;East;4057;$67;Corporate;03.10.11;Standard Class;Pennsylvania;Tables
Office Supplies;New York City;United States;LD-17005;Lisa DeCherney;0;29.09.11;CA-2011-124856;10011;OFF-LA-10000121;Avery 48;8.694;3;East;5798;$19;Consumer;03.10.11;Second Class;New York;Labels
Office Supplies;New York City;United States;LD-17005;Lisa DeCherney;0;29.09.11;CA-2011-124856;10011;OFF-PA-10001289;White Computer Printout Paper by Universal;379.848;2;East;5799;$78;Consumer;03.10.11;Second Class;New York;Paper
Office Supplies;New York City;United States;LD-17005;Lisa DeCherney;0;29.09.11;CA-2011-124856;10011;OFF-ST-10002615;Dual Level, Single-Width Filing Carts;3.628.404;9;East;5796;$1,396;Consumer;03.10.11;Second Class;New York;Storage
Office Supplies;Los Angeles;United States;AP-10915;Arthur Prichep;0;29.09.11;CA-2011-146969;90045;OFF-FA-10001561;Stockwell Push Pins;28.776;4;West;1143;$9;Consumer;03.10.11;Standard Class;California;Fasteners
Office Supplies;Los Angeles;United States;AP-10915;Arthur Prichep;0;29.09.11;CA-2011-146969;90045;OFF-PA-10002105;Xerox 223;31.104;1;West;1144;$6;Consumer;03.10.11;Standard Class;California;Paper
Office Supplies;Los Angeles;United States;AP-10915;Arthur Prichep;0;29.09.11;CA-2011-146969;90045;OFF-ST-10004340;Fellowes Mobile File Cart, Black;167.886;1;West;1146;$62;Consumer;03.10.11;Standard Class;California;Storage
Office Supplies;Philadelphia;United States;SM-20950;Suzanne McNair;0.2;29.09.11;CA-2011-122931;19134;OFF-AR-10003469;Nontoxic Chalk;14.784;3;East;4052;$4;Corporate;03.10.11;Standard Class;Pennsylvania;Art
Office Supplies;Philadelphia;United States;SM-20950;Suzanne McNair;0.2;29.09.11;CA-2011-122931;19134;OFF-LA-10002945;Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White;18.018;11;East;4054;$55;Corporate;03.10.11;Standard Class;Pennsylvania;Labels
Office Supplies;Philadelphia;United States;SM-20950;Suzanne McNair;0.2;29.09.11;CA-2011-122931;19134;OFF-PA-10000533;Southworth Parchment Paper & Envelopes;68.016;4;East;4055;$21;Corporate;03.10.11;Standard Class;Pennsylvania;Paper
Office Supplies;Philadelphia;United States;SM-20950;Suzanne McNair;0.2;29.09.11;CA-2011-122931;19134;OFF-ST-10004459;Tennsco Single-Tier Lockers;-337.806;6;East;4056;$1,802;Corporate;03.10.11;Standard Class;Pennsylvania;Storage
Technology;Los Angeles;United States;AP-10915;Arthur Prichep;0.2;29.09.11;CA-2011-146969;90045;TEC-MA-10004241;Star Micronics TSP800 TSP847IIU Receipt Printer;223.054;2;West;1145;$686;Consumer;03.10.11;Standard Class;California;Machines
Office Supplies;Seattle;United States;EB-14170;Evan Bailliet;0.2;29.09.11;CA-2011-111962;98115;OFF-BI-10001308;GBC Standard Plastic Binding Systems' Combs;März 14;2;West;9730;$10;Consumer;04.10.11;Standard Class;Washington;Binders
Office Supplies;Seattle;United States;EB-14170;Evan Bailliet;0;29.09.11;CA-2011-111962;98115;OFF-ST-10000046;Fellowes Super Stor/Drawer Files;1.534.725;5;West;9731;$808;Consumer;04.10.11;Standard Class;Washington;Storage
Office Supplies;Fairfield;United States;DM-12955;Dario Medina;0.2;30.09.11;CA-2011-141649;45014;OFF-AP-10003217;Eureka Sanitaire  Commercial Upright;596.556;6;East;7398;$795;Corporate;30.09.11;Same Day;Ohio;Appliances
Office Supplies;New York City;United States;RA-19915;Russell Applegate;0;30.09.11;CA-2011-102008;10011;OFF-PA-10004092;Tops Green Bar Computer Printout Paper;24.47;1;East;1791;$49;Consumer;04.10.11;Standard Class;New York;Paper
Office Supplies;Clarksville;United States;KW-16570;Kelly Williams;0.2;30.09.11;CA-2011-140886;37042;OFF-AP-10000696;Holmes Odor Grabber;112.476;6;South;2335;$69;Consumer;04.10.11;Standard Class;Tennessee;Appliances
Office Supplies;Seattle;United States;DB-13615;Doug Bickford;0.2;30.09.11;CA-2011-137351;98105;OFF-BI-10003910;DXL Angle-View Binders with Locking Rings by Samsill;134.925;7;West;3048;$43;Consumer;04.10.11;Standard Class;Washington;Binders
Office Supplies;Boynton Beach;United States;BW-11200;Ben Wallace;0.2;30.09.11;US-2011-167633;33437;OFF-PA-10004888;Xerox 217;54.432;3;South;2106;$16;Consumer;05.10.11;Standard Class;Florida;Paper
Furniture;New York City;United States;MH-17785;Maya Herman;0;30.09.11;CA-2011-159478;10035;FUR-FU-10000221;Master Caster Door Stop, Brown;51.816;3;East;3284;$15;Corporate;06.10.11;Standard Class;New York;Furnishings
Office Supplies;Reno;United States;NF-18475;Neil Französisch;0;01.10.11;US-2011-132745;89502;OFF-FA-10000254;Sterling Rubber Bands by Alliance;0;1;West;8706;$5;Home Office;05.10.11;Standard Class;Nevada;Fasteners
Office Supplies;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;OFF-EN-10004846;Letter or Legal Size Expandable Poly String Tie Envelopes;46.284;6;West;3226;$13;Corporate;05.10.11;First Class;Arizona;Envelopes
Office Supplies;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;OFF-FA-10000735;Staples;Jan 46;2;West;3224;$5;Corporate;05.10.11;First Class;Arizona;Fasteners
Office Supplies;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;OFF-PA-10001838;"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages";34.104;2;West;3223;$9;Corporate;05.10.11;First Class;Arizona;Paper
Office Supplies;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;OFF-SU-10003567;Stiletto Hand Letter Openers;-3.264;2;West;3227;$15;Corporate;05.10.11;First Class;Arizona;Supplies
Technology;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;TEC-AC-10003038;Kingston Digital DataTraveler 16GB USB 2.0;-0.089500000;1;West;3229;$7;Corporate;05.10.11;First Class;Arizona;Accessories
Technology;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;TEC-PH-10001760;Bose SoundLink Bluetooth Speaker;107.46;2;West;3225;$318;Corporate;05.10.11;First Class;Arizona;Phones
Technology;Tempe;United States;ES-14080;Erin Smith;0.2;02.10.11;CA-2011-108189;85281;TEC-PH-10001557;Pyle PMP37LED;201.579;3;West;3228;$230;Corporate;05.10.11;First Class;Arizona;Phones
Office Supplies;Columbus;United States;DO-13435;Denny Ordway;0.2;03.10.11;CA-2011-108903;43229;OFF-AR-10004010;Hunt Boston Vacuum Mount KS Pencil Sharpener;41.988;2;East;5600;$56;Consumer;03.10.11;Same Day;Ohio;Art
Office Supplies;Columbus;United States;DO-13435;Denny Ordway;0.2;03.10.11;CA-2011-108903;43229;OFF-EN-10004030;Convenience Packs of Business Envelopes;4.887;5;East;5601;$14;Consumer;03.10.11;Same Day;Ohio;Envelopes
Technology;Columbus;United States;DO-13435;Denny Ordway;0.2;03.10.11;CA-2011-108903;43229;TEC-AC-10003023;Logitech G105 Gaming Keyboard;-35.622;3;East;5602;$142;Consumer;03.10.11;Same Day;Ohio;Accessories
Furniture;Dallas;United States;RD-19930;Russell D'Ascenzo;0.6;03.10.11;CA-2011-120775;75217;FUR-FU-10000758;DAX Natural Wood-Tone Poster Frame;-190.656;3;Central;8219;$32;Consumer;07.10.11;Standard Class;Texas;Furnishings
Office Supplies;Dallas;United States;RD-19930;Russell D'Ascenzo;0.8;03.10.11;CA-2011-120775;75217;OFF-BI-10002609;Avery Hidden Tab Dividers for Binding Systems;-30.396;3;Central;8221;$2;Consumer;07.10.11;Standard Class;Texas;Binders
Office Supplies;Dallas;United States;RD-19930;Russell D'Ascenzo;0.2;03.10.11;CA-2011-120775;75217;OFF-FA-10002676;Colored Push Pins;0.8688;3;Central;8218;$4;Consumer;07.10.11;Standard Class;Texas;Fasteners
Office Supplies;Dallas;United States;RD-19930;Russell D'Ascenzo;0.2;03.10.11;CA-2011-120775;75217;OFF-FA-10000254;Sterling Rubber Bands by Alliance;-3.768;4;Central;8222;$15;Consumer;07.10.11;Standard Class;Texas;Fasteners
Office Supplies;Dallas;United States;RD-19930;Russell D'Ascenzo;0.2;03.10.11;CA-2011-120775;75217;OFF-LA-10002271;Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set;17.248;2;Central;8220;$5;Consumer;07.10.11;Standard Class;Texas;Labels
Furniture;Evanston;United States;BP-11290;Beth Paige;0.3;03.10.11;CA-2011-153976;60201;FUR-CH-10002880;Global High-Back Leather Tilter, Burgundy;-701.043;3;Central;1351;$258;Consumer;08.10.11;Second Class;Illinois;Chairs
Furniture;Los Angeles;United States;AR-10405;Allen Rosenblatt;0.2;03.10.11;CA-2011-157882;90036;FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;137.646;3;West;2276;$122;Corporate;08.10.11;Second Class;California;Chairs
Furniture;Los Angeles;United States;AR-10405;Allen Rosenblatt;0.2;03.10.11;CA-2011-157882;90036;FUR-TA-10001866;Bevis Round Conference Room Tables and Bases;3.585.800.000;1;West;2275;$143;Corporate;08.10.11;Second Class;California;Tables
Office Supplies;Durham;United States;SL-20155;Sara Luxemburg;0.2;03.10.11;US-2011-155817;27707;OFF-AR-10002335;DIXON Oriole Pencils;0.4644;3;South;4878;$6;Home Office;09.10.11;Standard Class;North Carolina;Art
Office Supplies;Durham;United States;SL-20155;Sara Luxemburg;0.2;03.10.11;US-2011-155817;27707;OFF-ST-10000532;Advantus Rolling Drawer Organizers;46.176;2;South;4877;$62;Home Office;09.10.11;Standard Class;North Carolina;Storage
Furniture;New York City;United States;CC-12220;Chris Cortes;0.1;04.10.11;CA-2011-166891;10024;FUR-CH-10003298;Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal;-6.549.000.000;5;East;6440;$589;Consumer;06.10.11;First Class;New York;Chairs
Office Supplies;Vallejo;United States;DF-13135;David Flashing;0.2;04.10.11;CA-2011-153479;94591;OFF-BI-10002867;GBC Recycled Regency Composition Covers;310.856;2;West;2725;$96;Consumer;08.10.11;Standard Class;California;Binders
Office Supplies;Vallejo;United States;DF-13135;David Flashing;0;04.10.11;CA-2011-153479;94591;OFF-LA-10004689;Avery 512;67.915;5;West;2724;$14;Consumer;08.10.11;Standard Class;California;Labels
Office Supplies;Seattle;United States;JD-16015;Joy Daniels;0;04.10.11;CA-2011-102085;98115;OFF-LA-10002475;Avery 519;137.428;4;West;4948;$29;Consumer;09.10.11;Standard Class;Washington;Labels
Technology;Pomona;United States;KH-16510;Keith Herrera;0;05.10.11;CA-2011-152233;91767;TEC-AC-10002800;Plantronics Audio 478 Stereo USB Headset;34.993;2;West;6805;$100;Consumer;06.10.11;First Class;California;Accessories
Office Supplies;Columbus;United States;BD-11635;Brian Derr;0.2;05.10.11;CA-2011-152422;43229;OFF-AP-10002892;Belkin F5C206VTEL 6 Outlet Surge;Nov 49;5;East;6020;$92;Consumer;10.10.11;Second Class;Ohio;Appliances
Office Supplies;Omaha;United States;AM-10360;Alice McCarthy;0;06.10.11;CA-2011-132542;68104;OFF-BI-10004099;GBC VeloBinder Strips;Juli 68;2;Central;5418;$15;Corporate;08.10.11;Second Class;Nebraska;Binders
Office Supplies;Indianapolis;United States;VP-21760;Victoria Pisteka;0;06.10.11;CA-2011-109680;46203;OFF-ST-10001932;Fellowes Staxonsteel Drawer Files;540.876;2;Central;8830;$386;Corporate;09.10.11;First Class;Indiana;Storage
Technology;San Diego;United States;XP-21865;Xylona Preis;0;06.10.11;CA-2011-134677;92024;TEC-AC-10001445;Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink;19.089;3;West;482;$9;Consumer;10.10.11;Standard Class;California;Accessories
Office Supplies;Philadelphia;United States;JD-16015;Joy Daniels;0.2;06.10.11;CA-2011-110611;19120;OFF-ST-10000642;Tennsco Lockers, Gray;-13.637;5;East;6356;$84;Consumer;13.10.11;Standard Class;Pennsylvania;Storage
Office Supplies;Dallas;United States;JG-15805;John Grady;0.2;07.10.11;CA-2011-132801;75217;OFF-ST-10001228;Fellowes Personal Hanging Folder Files, Navy;10.744;10;Central;3827;$107;Corporate;12.10.11;Standard Class;Texas;Storage
Furniture;Philadelphia;United States;MR-17545;Mathew Reese;0.2;07.10.11;CA-2011-117429;19140;FUR-FU-10000222;"Seth Thomas 16"" Steel Case Clock";21.112;5;East;724;$130;Home Office;13.10.11;Standard Class;Pennsylvania;Furnishings
Technology;Charlotte;United States;JG-15115;Jack Garza;0.2;08.10.11;CA-2011-142951;28205;TEC-AC-10002331;Maxell 74 Minute CDR, 10/Pack;49.878;3;South;7677;$23;Consumer;08.10.11;Same Day;North Carolina;Accessories
Office Supplies;New York City;United States;DN-13690;Duane Noonan;0;08.10.11;CA-2011-119977;10011;OFF-PA-10003823;Xerox 197;55.764;4;East;8853;$124;Consumer;13.10.11;Second Class;New York;Paper
Office Supplies;San Francisco;United States;SJ-20500;Shirley Jackson;0;09.10.11;CA-2011-138240;94122;OFF-AR-10002135;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;41.934;3;West;9459;$145;Consumer;14.10.11;Standard Class;California;Art
Technology;San Francisco;United States;SJ-20500;Shirley Jackson;0.2;09.10.11;CA-2011-138240;94122;TEC-PH-10002583;iOttie HLCRIO102 Car Mount;-29.985;1;West;9460;$16;Consumer;14.10.11;Standard Class;California;Phones
Office Supplies;Jacksonville;United States;BP-11095;Bart Pistole;0.2;09.10.11;CA-2011-137911;28540;OFF-PA-10004071;Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box;310.688;2;South;7153;$89;Corporate;15.10.11;Standard Class;North Carolina;Paper
Furniture;Manteca;United States;TN-21040;Tanja Norvell;0.2;10.10.11;CA-2011-140403;95336;FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;137.646;3;West;4533;$122;Home Office;10.10.11;Same Day;California;Chairs
Office Supplies;Columbus;United States;RB-19435;Richard Bierner;0.7;10.10.11;US-2011-105137;43229;OFF-BI-10002429;Premier Elliptical Ring Binder, Black;-133.936;2;East;8874;$18;Consumer;10.10.11;Same Day;Ohio;Binders
Office Supplies;Albuquerque;United States;FC-14335;Fred Chung;0;10.10.11;US-2011-134054;87105;OFF-AR-10000937;Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set;112.574;7;West;9275;$256;Corporate;10.10.11;Same Day;New Mexico;Art
Office Supplies;Manteca;United States;TN-21040;Tanja Norvell;0;10.10.11;CA-2011-140403;95336;OFF-EN-10001219;"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes";74.872;2;West;4534;$15;Home Office;10.10.11;Same Day;California;Envelopes
Technology;Columbus;United States;RB-19435;Richard Bierner;0.7;10.10.11;US-2011-105137;43229;TEC-MA-10002694;Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner;-713.958;2;East;8873;$102;Consumer;10.10.11;Same Day;Ohio;Machines
Furniture;Phoenix;United States;SD-20485;Shirley Daniels;0.2;10.10.11;CA-2011-150329;85023;FUR-FU-10003724;Westinghouse Clip-On Gooseneck Lamps;35.154;7;West;6679;$47;Home Office;14.10.11;Standard Class;Arizona;Furnishings
Office Supplies;Huntsville;United States;CM-12715;Craig Molinari;0.8;10.10.11;CA-2011-103492;77340;OFF-BI-10004140;Avery Non-Stick Binders;-15.715;1;Central;7549;$1;Corporate;15.10.11;Standard Class;Texas;Binders
Office Supplies;Huntsville;United States;CM-12715;Craig Molinari;0.8;10.10.11;CA-2011-103492;77340;OFF-BI-10004817;GBC Personal VeloBind Strips;-19.168;5;Central;7548;$12;Corporate;15.10.11;Standard Class;Texas;Binders
Technology;Huntsville;United States;CM-12715;Craig Molinari;0.2;10.10.11;CA-2011-103492;77340;TEC-PH-10004667;Cisco 8x8 Inc. 6753i IP Business Phone System;661.451;7;Central;7547;$756;Corporate;15.10.11;Standard Class;Texas;Phones
Technology;Huntsville;United States;CM-12715;Craig Molinari;0.2;10.10.11;CA-2011-103492;77340;TEC-PH-10001128;Motorola Droid Maxx;719.952;6;Central;7546;$720;Corporate;15.10.11;Standard Class;Texas;Phones
Furniture;Pasadena;United States;HA-14920;Helen Andreada;0.2;11.10.11;CA-2011-157924;91104;FUR-CH-10000229;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;-650.352;2;West;4169;$434;Consumer;13.10.11;First Class;California;Chairs
Office Supplies;Pasadena;United States;HA-14920;Helen Andreada;0;11.10.11;CA-2011-157924;91104;OFF-ST-10002352;Iris Project Case;82.992;4;West;4168;$32;Consumer;13.10.11;First Class;California;Storage
Furniture;Fayetteville;United States;DB-13555;Dorothy Badders;0;11.10.11;CA-2011-114314;72701;FUR-FU-10002107;Eldon Pizzaz Desk Accessories;39.248;4;South;5929;$9;Corporate;15.10.11;Standard Class;Arkansas;Furnishings
Office Supplies;Philadelphia;United States;JF-15565;Jill Fjeld;0.2;11.10.11;US-2011-126571;19120;OFF-EN-10002230;Airmail Envelopes;679.833;3;East;3267;$201;Consumer;15.10.11;Standard Class;Pennsylvania;Envelopes
Office Supplies;Philadelphia;United States;JF-15565;Jill Fjeld;0.2;11.10.11;US-2011-126571;19120;OFF-ST-10003816;Fellowes High-Stak Drawer Files;105.714;2;East;3266;$282;Consumer;15.10.11;Standard Class;Pennsylvania;Storage
Office Supplies;Redondo Beach;United States;AS-10240;Alan Shonely;0;11.10.11;CA-2011-128538;90278;OFF-EN-10001219;"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes";37.436;1;West;6215;$8;Consumer;15.10.11;Standard Class;California;Envelopes
Office Supplies;Fayetteville;United States;DB-13555;Dorothy Badders;0;11.10.11;CA-2011-114314;72701;OFF-LA-10000240;Self-Adhesive Address Labels for Typewriters by Universal;34.357;1;South;5928;$7;Corporate;15.10.11;Standard Class;Arkansas;Labels
Furniture;Seattle;United States;Dp-13240;Dean percer;0;11.10.11;CA-2011-116834;98115;FUR-FU-10001196;DAX Cubicle Frames - 8x10;19.041;11;West;4001;$63;Home Office;16.10.11;Standard Class;Washington;Furnishings
Technology;Seattle;United States;Dp-13240;Dean percer;0;11.10.11;CA-2011-116834;98115;TEC-AC-10002942;WD My Passport Ultra 1TB Portable External Hard Drive;58.65;5;West;4002;$345;Home Office;16.10.11;Standard Class;Washington;Accessories
Office Supplies;San Francisco;United States;DN-13690;Duane Noonan;0;12.10.11;CA-2011-139451;94122;OFF-AR-10002053;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;4.172;5;West;82;$15;Consumer;16.10.11;Standard Class;California;Art
Office Supplies;San Francisco;United States;DN-13690;Duane Noonan;0;12.10.11;CA-2011-139451;94122;OFF-ST-10002370;Sortfiler Multipurpose Personal File Organizer, Black;62.031;1;West;83;$21;Consumer;16.10.11;Standard Class;California;Storage
Office Supplies;Chicago;United States;BP-11050;Barry Pond;0.2;12.10.11;US-2011-154655;60623;OFF-SU-10000898;"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L";2.502;2;Central;9440;$22;Corporate;17.10.11;Standard Class;Illinois;Supplies
Furniture;Edmonds;United States;ZC-21910;Zuschuss Carroll;0;13.10.11;CA-2011-151995;98026;FUR-TA-10002903;"Bevis Round Bullnose 29"" High Table Top";311.652;5;West;811;$1,299;Consumer;15.10.11;First Class;Washington;Tables
Office Supplies;Edmonds;United States;ZC-21910;Zuschuss Carroll;0;13.10.11;CA-2011-151995;98026;OFF-AP-10000240;Belkin F9G930V10-GRY 9 Outlet Surge;620.368;4;West;812;$214;Consumer;15.10.11;First Class;Washington;Appliances
Office Supplies;Edmonds;United States;ZC-21910;Zuschuss Carroll;0;13.10.11;CA-2011-151995;98026;OFF-AR-10003190;Newell 32;32.256;4;West;810;$12;Consumer;15.10.11;First Class;Washington;Art
Office Supplies;Richmond;United States;MA-17995;Michelle Arnett;0;13.10.11;CA-2011-132010;23223;OFF-BI-10002432;Wilson Jones Standard D-Ring Binders;71.346;3;South;9114;$15;Home Office;15.10.11;First Class;Virginia;Binders
Office Supplies;Richmond;United States;MA-17995;Michelle Arnett;0;13.10.11;CA-2011-132010;23223;OFF-EN-10003160;Pastel Pink Envelopes;17.472;5;South;9111;$36;Home Office;15.10.11;First Class;Virginia;Envelopes
Office Supplies;Richmond;United States;MA-17995;Michelle Arnett;0;13.10.11;CA-2011-132010;23223;OFF-ST-10003641;Space Solutions Industrial Galvanized Steel Shelving.;6.304.000.000;4;South;9113;$315;Home Office;15.10.11;First Class;Virginia;Storage
Technology;Edmonds;United States;ZC-21910;Zuschuss Carroll;0;13.10.11;CA-2011-151995;98026;TEC-AC-10001101;Sony 16GB Class 10 Micro SDHC R40 Memory Card;2.578;2;West;813;$26;Consumer;15.10.11;First Class;Washington;Accessories
Technology;Richmond;United States;MA-17995;Michelle Arnett;0;13.10.11;CA-2011-132010;23223;TEC-AC-10001542;SanDisk Cruzer 16 GB USB Flash Drive;43.624;2;South;9112;$23;Home Office;15.10.11;First Class;Virginia;Accessories
Office Supplies;Mount Vernon;United States;SP-20545;Sibella Parks;0.2;13.10.11;CA-2011-123316;10550;OFF-BI-10002764;Recycled Pressboard Report Cover with Reinforced Top Hinge;28.101;3;East;6322;$8;Corporate;17.10.11;Standard Class;New York;Binders
Furniture;Lakewood;United States;ML-17395;Marina Lichtenstein;0;13.10.11;CA-2011-164742;8701;FUR-CH-10002880;Global High-Back Leather Tilter, Burgundy;270.578;2;East;5592;$246;Corporate;18.10.11;Second Class;New Jersey;Chairs
Office Supplies;Lakewood;United States;ML-17395;Marina Lichtenstein;0;13.10.11;CA-2011-164742;8701;OFF-BI-10004738;Flexible Leather- Look Classic Collection Ring Binder;Sep 47;1;East;5593;$19;Corporate;18.10.11;Second Class;New Jersey;Binders
Office Supplies;Concord;United States;JE-15610;Jim Epp;0;14.10.11;US-2011-146353;3301;OFF-BI-10003476;Avery Metallic Poly Binders;110.016;4;East;4906;$23;Corporate;16.10.11;Second Class;New Hampshire;Binders
Office Supplies;Concord;United States;JE-15610;Jim Epp;0;14.10.11;US-2011-146353;3301;OFF-ST-10001469;Fellowes Bankers Box Recycled Super Stor/Drawer;16.194;5;East;4907;$270;Corporate;16.10.11;Second Class;New Hampshire;Storage
Furniture;Everett;United States;TC-21295;Toby Carlisle;0;14.10.11;CA-2011-151330;2149;FUR-CH-10000749;Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms;2.606.112;9;East;9636;$1,629;Consumer;17.10.11;First Class;Massachusetts;Chairs
Office Supplies;Everett;United States;TC-21295;Toby Carlisle;0;14.10.11;CA-2011-151330;2149;OFF-ST-10000615;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;22.246;7;East;9635;$79;Consumer;17.10.11;First Class;Massachusetts;Storage
Technology;Everett;United States;TC-21295;Toby Carlisle;0;14.10.11;CA-2011-151330;2149;TEC-AC-10000865;WD My Passport Ultra 500GB Portable External Hard Drive;30. Sep;3;East;9634;$177;Consumer;17.10.11;First Class;Massachusetts;Accessories
Office Supplies;Fort Worth;United States;HG-15025;Hunter Glantz;0.8;14.10.11;CA-2011-163748;76106;OFF-AP-10004052;Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk;-8.532;4;Central;5756;$3;Consumer;18.10.11;Standard Class;Texas;Appliances
Technology;Fort Worth;United States;HG-15025;Hunter Glantz;0.2;14.10.11;CA-2011-163748;76106;TEC-CO-10002095;Hewlett Packard 610 Color Digital Copier / Printer;6.249.875;5;Central;5757;$2,000;Consumer;18.10.11;Standard Class;Texas;Copiers
Office Supplies;Chicago;United States;BD-11500;Bradley Drucker;0.8;14.10.11;US-2011-151015;60653;OFF-BI-10000343;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";-48.609;3;Central;9065;$3;Consumer;20.10.11;Standard Class;Illinois;Binders
Office Supplies;Chicago;United States;BD-11500;Bradley Drucker;0.2;14.10.11;US-2011-151015;60653;OFF-PA-10001184;Xerox 1903;69.368;4;Central;9066;$19;Consumer;20.10.11;Standard Class;Illinois;Paper
Office Supplies;Chicago;United States;BD-11500;Bradley Drucker;0.2;14.10.11;US-2011-151015;60653;OFF-PA-10002581;Xerox 1951;100.685;13;Central;9064;$322;Consumer;20.10.11;Standard Class;Illinois;Paper
Furniture;Parma;United States;AC-10660;Anna Chung;0.3;15.10.11;US-2011-122021;44134;FUR-CH-10003761;Global Italian Leather Office Chair;-78.588;2;East;4898;$183;Consumer;17.10.11;First Class;Ohio;Chairs
Office Supplies;Parma;United States;AC-10660;Anna Chung;0.2;15.10.11;US-2011-122021;44134;OFF-PA-10002230;Xerox 1897;28.884;2;East;4899;$8;Consumer;17.10.11;First Class;Ohio;Paper
Furniture;Hialeah;United States;DL-12865;Dan Lawera;0.2;15.10.11;CA-2011-143182;33012;FUR-FU-10004270;"Executive Impressions 13"" Clairmont Wall Clock";40.383;1;South;2695;$15;Consumer;20.10.11;Standard Class;Florida;Furnishings
Office Supplies;San Francisco;United States;LS-17245;Lynn Smith;0.2;16.10.11;US-2011-109456;94110;OFF-BI-10000136;Avery Non-Stick Heavy Duty View Round Locking Ring Binders;50.232;3;West;5886;$14;Consumer;17.10.11;Same Day;California;Binders
Technology;San Francisco;United States;LS-17245;Lynn Smith;0;16.10.11;US-2011-109456;94110;TEC-AC-10003610;Logitech Illuminated - Keyboard;863.856;3;West;5887;$180;Consumer;17.10.11;Same Day;California;Accessories
Furniture;Houston;United States;EB-14170;Evan Bailliet;0.6;17.10.11;CA-2011-103086;77095;FUR-FU-10004586;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;-15.936;2;Central;9558;$5;Consumer;19.10.11;Second Class;Texas;Furnishings
Office Supplies;Beaumont;United States;TB-21520;Tracy Blumstein;0.8;17.10.11;CA-2011-124394;77705;OFF-BI-10003676;GBC Standard Recycled Report Covers, Clear Plastic Sheets;-17.248;5;Central;6874;$11;Consumer;22.10.11;Second Class;Texas;Binders
Technology;Beaumont;United States;TB-21520;Tracy Blumstein;0.2;17.10.11;CA-2011-124394;77705;TEC-AC-10001314;Case Logic 2.4GHz Wireless Keyboard;-179.964;3;Central;6875;$120;Consumer;22.10.11;Second Class;Texas;Accessories
Furniture;Montgomery;United States;AS-10225;Alan Schoenberger;0;18.10.11;CA-2011-110408;36116;FUR-CH-10003774;Global Wood Trimmed Manager's Task Chair, Khaki;709.644;6;South;1978;$546;Corporate;20.10.11;Second Class;Alabama;Chairs
